N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"59,500",200,+0.34%,100,"3,552,021","5,969,783",49.96,"12,053,813",9.65,13.92,
2,LG에너지솔루션,"485,500",500,-0.10%,500,"1,136,070","234,000",5.14,"310,663",197.84,10.68,
3,삼성바이오로직스,"835,000","12,000",+1.46%,"2,500","594,303","71,174",10.75,"41,042",113.36,8.21,
4,SK하이닉스,"78,400","1,800",-2.24%,"5,000","570,754","728,002",49.97,"3,678,254",6.15,16.84,
5,삼성SDI,"667,000","2,000",+0.30%,"5,000","458,659","68,765",47.44,"257,483",27.35,8.45,
6,LG화학,"645,000","2,000",+0.31%,"5,000","455,321","70,592",48.28,"173,605",22.70,18.47,
7,삼성전자우,"53,800",200,-0.37%,100,"442,713","822,887",71.73,"936,447",8.73,N/A,
8,현대차,"162,500",500,+0.31%,"5,000","347,211","213,668",28.93,"440,113",7.25,6.84,
9,NAVER,"180,500","2,000",-1.10%,100,"296,109","164,049",48.47,"906,454",31.80,106.72,
10,기아,"64,100",0,0.00%,"5,000","259,838","405,363",35.96,"1,117,317",5.62,14.69,
11,셀트리온,"179,000",500,-0.28%,"1,000","252,041","140,805",21.46,"256,930",42.45,16.04,
12,카카오,"54,400",900,-1.63%,100,"242,303","445,410",26.74,"2,459,458",15.60,17.10,
13,POSCO홀딩스,"279,000","4,500",-1.59%,"5,000","235,954","84,571",51.67,"355,537",4.57,13.97,
14,삼성물산,"120,000",0,0.00%,100,"224,264","186,887",16.93,"166,609",12.68,5.40,
15,KB금융,"51,900",300,+0.58%,"5,000","212,218","408,897",73.23,"1,272,937",4.60,9.80,
16,현대모비스,"206,500",500,+0.24%,"5,000","194,699","94,285",36.08,"174,449",8.15,6.87,
17,신한지주,"37,450",250,-0.66%,"5,000","190,540","508,785",62.34,"863,633",4.18,8.80,
18,SK이노베이션,"169,500","2,000",+1.19%,"5,000","156,729","92,466",25.67,"224,416",7.18,1.91,
19,SK,"203,500",500,+0.25%,200,"150,894","74,149",22.51,"108,649",4.41,10.19,
20,삼성생명,"73,200",200,-0.27%,500,"146,400","200,000",13.65,"215,005",20.65,4.01,
21,포스코케미칼,"188,500",500,+0.27%,500,"146,018","77,463",8.79,"459,419",90.80,7.92,
22,LG전자,"87,200","1,500",-1.69%,"5,000","142,701","163,648",26.26,"619,883",9.97,6.32,
23,한국전력,"21,650",800,+3.84%,"5,000","138,985","641,964",14.36,"4,726,413",-0.68,-7.99,
24,KT&G,"97,500",700,-0.71%,"5,000","133,860","137,292",43.12,"489,570",11.52,10.74,
25,하나금융지주,"44,750",200,+0.45%,"5,000","132,417","295,903",70.35,"1,149,908",3.61,10.86,
26,LG,"80,000",200,-0.25%,"5,000","125,841","157,301",36.27,"226,498",5.83,12.36,
27,카카오뱅크,"26,000",50,-0.19%,"5,000","123,946","476,714",13.59,"3,180,931",51.79,4.91,
28,고려아연,"596,000","5,000",+0.85%,"5,000","118,384","19,863",22.91,"76,079",15.58,11.07,
29,LG생활건강,"693,000","4,000",+0.58%,"5,000","108,234","15,618",35.96,"42,752",25.45,16.65,
30,SK텔레콤,"48,800",500,-1.01%,100,"106,791","218,833",45.75,"981,595",11.30,13.63,
31,HMM,"21,800",300,+1.40%,"5,000","106,611","489,039",9.50,"1,169,489",0.93,88.62,
32,현대중공업,"118,500","2,500",+2.16%,"5,000","105,196","88,773",6.30,"150,803",-14.81,-14.87,
33,삼성전기,"140,000",0,0.00%,"5,000","104,571","74,694",28.31,"588,978",11.39,14.29,
34,두산에너빌리티,"16,200",400,-2.41%,"5,000","103,406","638,308",11.53,"3,483,976",324.00,10.67,
35,삼성화재,"214,000","3,500",+1.66%,500,"101,382","47,375",50.27,"136,592",9.35,7.09,
36,S-Oil,"88,300",200,+0.23%,"2,500","99,411","112,583",80.04,"237,827",4.76,21.76,
37,삼성에스디에스,"125,000","2,000",-1.57%,500,"96,722","77,378",13.92,"123,073",10.08,8.80,
38,엔씨소프트,"438,500","4,500",+1.04%,500,"96,268","21,954",44.36,"89,146",16.28,12.62,
39,한화솔루션,"49,600","1,200",+2.48%,"5,000","94,874","191,278",25.23,"993,480",32.61,8.79,
40,KT,"36,300",350,-0.95%,"5,000","94,784","261,112",43.41,"631,272",6.65,9.36,
41,우리금융지주,"12,850",200,+1.58%,"5,000","93,556","728,061",39.89,"2,005,560",3.07,10.59,
42,대한항공,"24,700",150,-0.60%,"5,000","90,950","368,221",16.14,"1,242,426",4.92,11.60,
43,크래프톤,"183,500","4,000",+2.23%,100,"90,047","49,072",29.42,"251,122",13.39,17.86,
44,카카오페이,"61,400",300,+0.49%,500,"81,639","132,962",42.89,"1,111,389",-310.10,-2.45,
45,기업은행,"10,900",100,-0.91%,"5,000","81,129","744,301",13.77,"1,093,329",3.33,9.21,
46,아모레퍼시픽,"132,500","2,000",+1.53%,500,"77,503","58,493",24.79,"210,387",133.84,4.20,
47,하이브,"164,000","6,500",+4.13%,500,"67,820","41,353",14.40,"318,503",24.79,6.83,
48,LG이노텍,"280,500","6,000",-2.09%,"5,000","66,386","23,667",24.05,"212,235",6.39,30.94,
49,SK바이오사이언스,"85,500",100,-0.12%,500,"65,650","76,784",4.74,"298,724",23.51,38.08,
50,현대글로비스,"174,000","1,500",+0.87%,500,"65,250","37,500",47.48,"54,098",6.00,14.41,
51,SK바이오팜,"73,700","1,000",-1.34%,500,"57,717","78,313",6.63,"74,163",-119.06,15.75,
52,롯데케미칼,"166,500","3,000",-1.77%,"5,000","57,069","34,275",26.16,"123,972",27.23,9.87,
53,CJ제일제당,"376,000","2,000",-0.53%,"5,000","56,604","15,054",24.36,"45,740",9.24,10.76,
54,F&F,"140,500","1,500",+1.08%,100,"53,821","38,307",12.62,"250,855",13.29,N/A,
55,KODEX 200,"30,695",145,-0.47%,0,"53,471","174,200",11.53,"3,241,898",N/A,N/A,
56,한국조선해양,"72,800",200,-0.27%,"5,000","51,523","70,773",20.19,"163,311",-8.05,-8.95,
57,HD현대,"64,900",200,-0.31%,"1,000","51,267","78,993",18.31,"227,862",4.56,-1.99,
58,강원랜드,"23,950",50,-0.21%,500,"51,239","213,940",22.89,"286,682",53.70,-0.33,
59,LG유플러스,"11,700",250,-2.09%,"5,000","51,084","436,611",38.01,"773,346",8.57,9.47,
60,메리츠화재,"45,550",700,+1.56%,500,"50,608","111,104",10.82,"308,589",6.05,26.12,
61,SK스퀘어,"35,100",200,-0.57%,100,"49,655","141,468",41.81,"383,144",3.03,N/A,
62,메리츠금융지주,"38,800","1,550",+4.16%,500,"49,498","127,572",4.86,"718,586",4.70,22.33,
63,LG디스플레이,"13,400",500,-3.60%,"5,000","47,947","357,816",18.81,"2,009,199",-4.80,9.68,
64,오리온,"119,500",500,+0.42%,500,"47,246","39,536",36.89,"112,009",15.57,12.75,
65,한온시스템,"8,670",60,+0.70%,100,"46,280","533,800",16.49,"566,112",30.31,13.83,
66,한국항공우주,"47,300","1,200",-2.47%,"5,000","46,106","97,475",25.87,"739,102",35.59,5.19,
67,DB손해보험,"64,700",800,+1.25%,500,"45,808","70,800",43.10,"133,795",4.65,13.38,
68,맥쿼리인프라,"11,250",100,+0.90%,0,"45,545","404,846",13.19,"1,040,187",N/A,N/A,
69,삼성중공업,"5,160",20,+0.39%,"1,000","45,408","880,000",16.05,"2,228,268",-6.42,-36.89,
70,삼성엔지니어링,"22,550",350,-1.53%,"5,000","44,198","196,000",41.39,"647,297",9.16,20.67,
71,유한양행,"59,400",300,-0.50%,"1,000","43,499","73,231",20.14,"153,770",59.22,5.45,
72,넷마블,"50,300",0,0.00%,100,"43,235","85,954",22.97,"295,155",-14.48,4.29,
73,SK아이이테크놀로지,"60,300",500,-0.82%,"1,000","42,992","71,298",7.67,"348,628",-89.33,5.57,
74,GS,"46,000",350,+0.77%,"5,000","42,741","92,915",25.49,"257,014",1.96,15.55,
75,현대제철,"31,900","1,150",-3.48%,"5,000","42,569","133,446",21.85,"420,122",2.61,8.54,
76,한국타이어앤테크놀로지,"33,550",150,-0.45%,500,"41,560","123,875",36.21,"319,706",5.72,7.69,
77,코웨이,"56,200",600,-1.06%,500,"41,475","73,800",61.50,"198,380",8.84,27.41,
78,금호석유,"139,500",500,-0.36%,"5,000","40,893","29,314",21.36,"83,594",3.97,47.76,
79,현대건설,"35,700",500,-1.38%,"5,000","39,754","111,356",24.65,"587,307",5.98,5.89,
80,미래에셋증권,"6,410",40,-0.62%,"5,000","39,442","615,316",12.79,"643,802",6.85,11.66,
81,SKC,"101,500",500,-0.49%,"5,000","38,436","37,868",14.63,"115,413",28.56,11.60,
82,삼성카드,"32,500",50,-0.15%,"5,000","37,654","115,859",6.26,"42,277",6.43,7.53,
83,TIGER CD금리투자KIS(합성),"51,610",10,+0.02%,0,"37,481","72,624",0.00,"698,980",N/A,N/A,
84,두산밥캣,"36,150",150,+0.42%,500,"36,240","100,249",29.09,"339,444",7.50,9.19,
85,한미약품,"290,500",0,0.00%,"2,500","35,784","12,318",15.98,"26,048",44.30,8.75,
86,한화에어로스페이스,"70,500",800,-1.12%,"5,000","35,694","50,630",22.63,"494,657",19.30,9.21,
87,BGF리테일,"206,500","5,000",-2.36%,"1,000","35,691","17,284",32.85,"40,273",18.95,19.61,
88,메리츠증권,"5,780",110,+1.94%,"1,000","35,549","615,041",14.46,"1,425,460",4.82,15.77,
89,현대미포조선,"87,100",600,+0.69%,"5,000","34,790","39,942",20.28,"188,197",129.23,-7.11,
90,에스디바이오센서,"32,750","1,450",+4.63%,500,"34,098","104,117",14.65,"549,136",2.48,72.47,
91,롯데지주,"32,350",200,+0.62%,200,"33,938","104,909",9.67,"317,985",19.37,4.61,
92,한국가스공사,"36,700","1,950",+5.61%,"5,000","33,879","92,313",10.11,"1,120,375",2.86,11.63,
93,한국금융지주,"57,800",800,-1.37%,"5,000","32,210","55,726",36.10,"139,834",4.05,27.12,
94,호텔신라,"80,100","2,500",+3.22%,"5,000","31,438","39,248",19.38,"492,730",66.03,4.51,
95,팬오션,"5,880",290,+5.19%,"1,000","31,433","534,570",16.28,"4,364,855",4.04,17.16,
96,씨에스윈드,"74,500","1,400",-1.84%,500,"31,418","42,171",11.00,"227,648",250.00,10.13,
97,NH투자증권,"9,470",50,-0.53%,"5,000","31,409","331,666",12.74,"352,944",7.49,14.77,
98,KODEX KOFR금리액티브(합성),"101,565",25,+0.02%,0,"31,038","30,560",2.03,"34,409",N/A,N/A,
99,삼성증권,"34,300",500,-1.44%,"5,000","30,630","89,300",27.39,"211,619",5.51,16.94,
100,쌍용C&E,"6,020",30,+0.50%,100,"30,332","503,860",2.56,"1,426,669",45.95,11.12,
101,TIGER 차이나전기차SOLACTIVE,"12,580",250,-1.95%,0,"30,313","240,960",0.56,"3,270,104",N/A,N/A,
102,현대로템,"27,450",950,-3.35%,"5,000","29,960","109,142",6.64,"1,860,659",27.31,5.01,
103,GS리테일,"28,500",350,-1.21%,"1,000","29,845","104,718",7.60,"151,241",33.06,25.58,
104,현대차2우B,"81,200",300,+0.37%,"5,000","29,626","36,485",59.62,"82,620",3.62,N/A,
105,포스코인터내셔널,"23,800",350,+1.49%,"5,000","29,363","123,375",8.67,"426,425",5.13,10.86,
106,현대오토에버,"104,000",500,-0.48%,500,"28,521","27,424",2.13,"14,660",31.74,7.26,
107,아모레G,"34,000","1,150",+3.50%,500,"28,036","82,458",10.59,"421,159",87.86,5.49,
108,이마트,"99,500","1,000",-1.00%,"5,000","27,736","27,876",28.52,"105,487",3.00,16.25,
109,제일기획,"23,750",100,-0.42%,200,"27,322","115,041",33.01,"206,089",13.86,15.58,
110,현대해상,"30,300",550,+1.85%,500,"27,088","89,400",34.76,"606,417",4.98,8.82,
111,일진머티리얼즈,"58,400",500,+0.86%,500,"26,929","46,111",9.82,"178,184",48.30,7.85,
112,한진칼,"38,900",400,-1.02%,"2,500","25,970","66,762",16.75,"66,671",2.74,1.11,
113,롯데쇼핑,"88,500",700,+0.80%,"5,000","25,036","28,289",12.34,"66,559",-4.82,-2.94,
114,한미사이언스,"35,600",0,0.00%,500,"24,430","68,624",1.69,"93,287",48.17,6.37,
115,동원산업,"48,700",400,-0.81%,"1,000","24,342","49,983",2.51,"36,318",4.42,12.59,
116,KODEX 200선물인버스2X,"3,205",30,+0.94%,0,"24,018","749,400",3.27,"161,265,888",N/A,N/A,
117,에스원,"62,100","2,000",-3.12%,500,"23,597","37,999",53.78,"42,822",18.54,9.13,
118,BNK금융지주,"7,230",30,-0.41%,"5,000","23,565","325,935",35.48,"1,151,792",2.91,8.76,
119,CJ,"80,700",700,+0.88%,"5,000","23,546","29,177",17.81,"49,664",8.20,5.66,
120,LG화학우,"305,000","4,000",+1.33%,"5,000","23,451","7,689",69.67,"22,896",10.73,N/A,
121,키움증권,"89,100",600,-0.67%,"5,000","23,362","26,220",25.29,"69,463",4.61,25.38,
122,LS,"71,700","1,500",+2.14%,"5,000","23,087","32,200",13.59,"170,682",5.76,8.15,
123,한전기술,"58,800",300,-0.51%,200,"22,473","38,220",1.38,"183,023",110.73,3.25,
124,한솔케미칼,"197,500","3,500",-1.74%,"5,000","22,387","11,335",39.77,"25,450",15.67,23.88,
125,한화생명,"2,505",5,+0.20%,"5,000","21,757","868,530",7.05,"1,369,450",2.03,10.79,
126,OCI,"90,800","1,100",-1.20%,"5,000","21,655","23,849",12.20,"223,866",2.69,23.93,
127,두산퓨얼셀,"32,550","1,200",-3.56%,100,"21,318","65,494",14.97,"357,167",651.00,1.69,
128,HL만도,"45,350",750,+1.68%,"1,000","21,295","46,957",23.61,"321,116",10.05,9.31,
129,신세계,"213,000","3,000",-1.39%,"5,000","20,970","9,845",26.59,"70,104",7.06,8.54,
130,한화시스템,"11,100",150,-1.33%,"5,000","20,970","188,919",4.06,"240,296",-231.25,6.04,
131,한화,"27,950",150,+0.54%,"5,000","20,951","74,959",17.98,"140,962",2.01,20.22,
132,CJ대한통운,"91,700",700,-0.76%,"5,000","20,919","22,812",17.29,"55,051",10.37,1.59,
133,TIGER MSCI Korea TR,"12,705",5,-0.04%,0,"20,874","164,300",0.00,"2,079",N/A,N/A,
134,서울가스,"416,500","6,000",+1.46%,"5,000","20,825","5,000",3.61,"6,062",98.65,0.80,
135,동서,"20,600",300,-1.44%,500,"20,538","99,700",3.04,"54,714",18.56,8.05,
136,KCC,"231,000","4,000",-1.70%,"5,000","20,528","8,886",13.24,"19,556",-7.42,-0.92,
137,휠라홀딩스,"33,600",550,+1.66%,"1,000","20,413","60,752",42.63,"225,912",9.48,16.20,
138,농심,"334,500",0,0.00%,"5,000","20,346","6,083",15.29,"12,314",17.50,4.73,
139,대우조선해양,"18,850",150,-0.79%,"5,000","20,224","107,291",2.57,"1,048,186",-1.18,-55.86,
140,대한전선,"1,615",40,-2.42%,100,"20,098","1,244,473",1.98,"5,576,096",62.12,7.78,
141,영원무역,"45,100",350,-0.77%,500,"19,984","44,311",30.07,"56,268",3.52,14.71,
142,TIGER 미국나스닥100,"66,395","2,095",-3.06%,0,"19,899","29,970",0.09,"220,408",N/A,N/A,
143,KODEX 200TR,"10,295",35,-0.34%,0,"19,890","193,200",0.07,"29,099",N/A,N/A,
144,KODEX 레버리지,"13,820",145,-1.04%,0,"19,714","142,650",1.00,"19,366,328",N/A,N/A,
145,현대차우,"80,400",700,+0.88%,"5,000","19,583","24,357",57.57,"50,605",3.59,N/A,
146,LIG넥스원,"87,800","2,700",-2.98%,"5,000","19,316","22,000",14.12,"150,221",10.53,14.63,
147,GS건설,"22,250",450,-1.98%,"5,000","19,042","85,581",29.83,"796,667",3.81,9.32,
148,대성홀딩스,"117,500","3,000",+2.62%,"1,000","18,905","16,089",4.71,"34,686",118.21,3.61,
149,하이트진로,"26,550",450,-1.67%,"5,000","18,620","70,134",13.42,"178,798",16.39,6.62,
150,오뚜기,"457,500","2,000",-0.44%,"5,000","18,336","4,008",11.10,"5,806",11.77,8.91,
151,대우건설,"4,375",100,-2.23%,"5,000","18,183","415,623",12.45,"882,736",3.62,16.47,
152,대웅제약,"156,000",500,+0.32%,"2,500","18,075","11,587",7.76,"26,479",21.97,4.39,
153,DB하이텍,"40,550",700,-1.70%,"5,000","18,004","44,399",25.52,"301,148",2.97,33.35,
154,TIGER 200,"30,690",185,-0.60%,0,"17,616","57,400",4.17,"1,096,020",N/A,N/A,
155,KODEX 종합채권(AA-이상)액티브,"102,185",335,+0.33%,0,"17,614","17,237",0.00,"19,276",N/A,N/A,
156,TIGER 미국S&P500,"12,770",310,-2.37%,0,"17,386","136,150",0.88,"1,651,860",N/A,N/A,
157,LS ELECTRIC,"56,500",300,-0.53%,"5,000","16,950","30,000",12.12,"104,395",17.27,5.86,
158,코스모신소재,"54,600",600,-1.09%,"1,000","16,735","30,651",7.29,"172,486",58.46,9.42,
159,JB금융지주,"8,330",30,+0.36%,"5,000","16,409","196,983",28.06,"373,748",2.82,12.80,
160,현대두산인프라코어,"8,250",90,-1.08%,"1,000","16,315","197,763",11.22,"2,421,819",3.55,24.63,
161,녹십자,"139,000","1,500",-1.07%,"5,000","16,244","11,687",22.25,"25,868",14.97,10.30,
162,효성첨단소재,"359,000","8,500",-2.31%,"5,000","16,083","4,480",6.53,"16,118",8.88,54.69,
163,삼천리,"392,000","8,500",+2.22%,"5,000","15,896","4,055",13.06,"20,496",20.00,4.52,
164,한전KPS,"35,300",100,+0.28%,200,"15,885","45,000",5.63,"183,728",24.23,9.12,
165,효성,"75,300",900,-1.18%,"5,000","15,866","21,071",4.93,"33,565",13.65,18.04,
166,롯데칠성,"167,000",0,0.00%,500,"15,496","9,279",12.91,"29,498",14.09,9.96,
167,LX인터내셔널,"39,750",500,-1.24%,"5,000","15,407","38,760",31.43,"202,807",2.60,22.49,
168,롯데정밀화학,"59,700",200,+0.34%,"5,000","15,403","25,800",20.00,"45,829",5.01,30.43,
169,현대일렉트릭,"42,350",400,+0.95%,"5,000","15,266","36,047",14.31,"210,653",31.09,-5.08,
170,효성티앤씨,"350,500","13,000",-3.58%,"5,000","15,169","4,328",8.69,"36,970",9.97,76.22,
171,현대위아,"54,600","1,000",-1.80%,"5,000","14,849","27,195",10.21,"105,432",7.25,1.96,
172,쌍용차,"8,760",0,0.00%,"5,000","14,625","166,956",27.55,0,-2.47,305.77,
173,TIGER 미국필라델피아반도체나스닥,"9,385",325,-3.35%,0,"14,448","153,950",0.17,"999,681",N/A,N/A,
174,SK케미칼,"82,500","1,500",-1.79%,"5,000","14,234","17,254",14.91,"168,502",7.74,11.19,
175,DL이앤씨,"36,600",800,-2.14%,"5,000","14,162","38,694",22.21,"176,104",3.25,N/A,
176,두산,"85,400",600,-0.70%,"5,000","14,111","16,524",6.53,"65,584",-17.25,11.08,
177,금양,"24,200","1,300",-5.10%,500,"14,048","58,050",2.21,"2,841,123",79.87,13.57,
178,현대백화점,"59,100",0,0.00%,"5,000","13,831","23,402",23.76,"35,369",6.58,4.36,
179,DGB금융지주,"7,850",100,+1.29%,"5,000","13,278","169,146",44.23,"569,395",2.77,9.63,
180,LX세미콘,"80,600","2,000",-2.42%,500,"13,109","16,264",28.83,"121,388",4.53,44.49,
181,한국앤컴퍼니,"13,800",250,+1.85%,500,"13,101","94,935",9.08,"62,355",5.47,5.53,
182,TIGER 미국테크TOP10 INDXX,"8,900",280,-3.05%,0,"12,985","145,900",0.25,"1,089,653",N/A,N/A,
183,DL,"61,800","1,700",-2.68%,"5,000","12,951","20,956",10.51,"90,714",34.90,26.52,
184,동원시스템즈,"44,400","1,100",-2.42%,"5,000","12,872","28,991",13.25,"24,289",27.51,6.95,
185,한미반도체,"12,900",50,-0.39%,100,"12,761","98,920",4.76,"195,068",10.22,34.59,
186,TIGER 단기통안채,"101,945",15,+0.01%,0,"12,744","12,501",1.03,"473,367",N/A,N/A,
187,신풍제약,"23,350",100,-0.43%,500,"12,372","52,985",5.17,"282,912",-43.16,-3.19,
188,F&F홀딩스,"31,550","4,700",+17.50%,500,"12,341","39,114",0.22,"5,294,711",10.39,153.88,
189,대웅,"21,200",150,+0.71%,500,"12,326","58,142",4.55,"32,365",9.88,11.13,
190,현대건설기계,"62,000",0,0.00%,"5,000","12,214","19,701",16.78,"258,256",12.25,8.92,
191,영풍,"661,000","10,000",-1.49%,"5,000","12,176","1,842",4.89,"4,608",5.43,3.66,
192,코오롱인더,"44,050","1,050",-2.33%,"5,000","12,122","27,519",18.01,"117,182",8.06,8.20,
193,TIGER 2차전지테마,"18,560",60,-0.32%,0,"11,906","64,150",0.03,"550,912",N/A,N/A,
194,솔루스첨단소재,"33,850",50,+0.15%,100,"11,885","35,111",4.90,"166,923",-769.32,4.00,
195,더존비즈온,"39,000",200,+0.52%,500,"11,849","30,383",23.25,"64,022",32.58,12.10,
196,현대엘리베이,"28,700","1,150",-3.85%,"5,000","11,714","40,815",29.16,"185,553",8.18,10.62,
197,동국제강,"12,150",400,-3.19%,"5,000","11,595","95,433",24.60,"395,399",1.58,23.41,
198,에스엘,"24,900",50,-0.20%,500,"11,566","46,449",14.60,"155,441",9.36,6.63,
199,KODEX 단기채권PLUS,"104,780",20,+0.02%,0,"11,564","11,036",0.02,"1,060,103",N/A,N/A,
200,일진하이솔루스,"31,700",300,-0.94%,500,"11,511","36,313",1.49,"43,145",126.80,4.97,
